:START_ID,:END_ID,:TYPE,restriction,restriction_value,label
obo.CHEBI_28757,UPPER_AND_50,member_of,,,
UPPER_BLANK_64,UPPER_AND_50,member_of,,,
UPPER_BLANK_64,obo.CDNO_0100049,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100051,UPPER_AND_51,equivalent_to,,,
obo.CHEBI_33709,UPPER_AND_51,member_of,,,
UPPER_BLANK_65,UPPER_AND_51,member_of,,,
UPPER_BLANK_65,obo.CHEBI_36080,obo.RO_0001000,SOME,,derives from
obo.CDNO_0200001,UPPER_AND_52,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_52,member_of,,,
UPPER_BLANK_66,UPPER_AND_52,member_of,,,
UPPER_BLANK_66,UPPER_AND_53,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CDNO_0000001,UPPER_AND_53,member_of,SOME,,
UPPER_BLANK_67,UPPER_AND_53,member_of,SOME,,
UPPER_BLANK_67,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200002,UPPER_AND_54,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_54,member_of,,,
UPPER_BLANK_68,UPPER_AND_54,member_of,,,
UPPER_BLANK_68,UPPER_AND_55,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_15377,UPPER_AND_55,member_of,SOME,,
UPPER_BLANK_69,UPPER_AND_55,member_of,SOME,,
UPPER_BLANK_69,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200003,UPPER_AND_56,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_56,member_of,,,
UPPER_BLANK_70,UPPER_AND_56,member_of,,,
UPPER_BLANK_70,UPPER_AND_57,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CDNO_0000002,UPPER_AND_57,member_of,SOME,,
UPPER_BLANK_71,UPPER_AND_57,member_of,SOME,,
UPPER_BLANK_71,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200004,UPPER_AND_58,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_58,member_of,,,
UPPER_BLANK_72,UPPER_AND_58,member_of,,,
UPPER_BLANK_72,UPPER_AND_59,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.ENVO_02000090,UPPER_AND_59,member_of,SOME,,
UPPER_BLANK_73,UPPER_AND_59,member_of,SOME,,
UPPER_BLANK_73,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200005,UPPER_AND_60,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_60,member_of,,,
UPPER_BLANK_74,UPPER_AND_60,member_of,,,
UPPER_BLANK_74,UPPER_AND_61,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_16646,UPPER_AND_61,member_of,SOME,,
UPPER_BLANK_75,UPPER_AND_61,member_of,SOME,,
UPPER_BLANK_75,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200006,UPPER_AND_62,equivalent_to,,,
